country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Brazil,2020-05-09,-46.57142857142857,6.607142857142857,-47.82142857142857,-46.25,-18.964285714285715,13.071428571428571
Canada,2020-02-15,1.5,-0.7857142857142857,3.2142857142857144,2.857142857142857,-1.2142857142857142,0.07142857142857142
Canada,2020-02-16,17.46153846153846,10.615384615384615,38.30769230769231,5.769230769230769,2.6923076923076925,-1.9230769230769231
Canada,2020-02-17,-10.785714285714286,-17.142857142857142,41.285714285714285,-17.714285714285715,-43.0,9.142857142857142
Canada,2020-02-18,1.3571428571428572,5.0,2.0714285714285716,-1.5714285714285714,-2.0,0.8571428571428571
Canada,2020-02-19,-1.1428571428571428,-1.5,2.142857142857143,-2.357142857142857,-2.2142857142857144,1.1428571428571428
Canada,2020-02-20,7.5,6.214285714285714,7.785714285714286,-1.1428571428571428,-1.1428571428571428,0.21428571428571427
Canada,2020-02-21,2.2857142857142856,-0.2857142857142857,5.5,0.07142857142857142,-2.4285714285714284,0.6428571428571429
Canada,2020-02-22,6.142857142857143,2.857142857142857,17.571428571428573,4.142857142857143,2.857142857142857,-0.35714285714285715
Canada,2020-02-23,16.384615384615383,9.615384615384615,48.15384615384615,7.230769230769231,6.461538461538462,-1.5384615384615385
Canada,2020-02-24,2.0,1.0,15.857142857142858,1.1428571428571428,1.7857142857142858,0.07142857142857142
Canada,2020-02-25,2.0,4.357142857142857,8.0,1.5,2.2857142857142856,0.07142857142857142
Canada,2020-02-26,5.0,3.7142857142857144,5.785714285714286,1.8571428571428572,1.7142857142857142,0.14285714285714285
Canada,2020-02-27,-1.7142857142857142,0.35714285714285715,-2.4285714285714284,-3.642857142857143,-1.6428571428571428,2.357142857142857
Canada,2020-02-28,3.0,1.0714285714285714,-2.5714285714285716,1.4285714285714286,1.2857142857142858,1.0714285714285714
Canada,2020-02-29,6.642857142857143,5.214285714285714,8.857142857142858,7.0,4.142857142857143,-0.2857142857142857
Canada,2020-03-01,11.461538461538462,9.692307692307692,21.076923076923077,7.461538461538462,5.0,-1.0
Canada,2020-03-02,2.357142857142857,3.0,2.5714285714285716,-1.5,-1.7142857142857142,1.2142857142857142
Canada,2020-03-03,4.642857142857143,5.214285714285714,6.571428571428571,-0.07142857142857142,0.42857142857142855,0.5714285714285714
Canada,2020-03-04,4.5,1.7142857142857142,3.4285714285714284,-0.7857142857142857,-0.35714285714285715,0.7857142857142857
Canada,2020-03-05,6.142857142857143,3.7142857142857144,7.0,-0.5,-0.7142857142857143,0.7857142857142857
Canada,2020-03-06,4.857142857142857,3.2142857142857144,6.785714285714286,0.6428571428571429,2.7142857142857144,0.5
Canada,2020-03-07,1.5,2.5,-2.142857142857143,-0.14285714285714285,2.142857142857143,0.7142857142857143
Canada,2020-03-08,7.428571428571429,6.785714285714286,29.857142857142858,5.071428571428571,4.571428571428571,-0.42857142857142855
Canada,2020-03-09,3.7142857142857144,4.0,14.285714285714286,0.0,0.42857142857142855,0.6428571428571429
Canada,2020-03-10,0.5,3.0714285714285716,0.5714285714285714,-2.0,1.2857142857142858,1.3571428571428572
Canada,2020-03-11,3.857142857142857,4.571428571428571,7.285714285714286,-1.2857142857142858,2.0714285714285716,0.7142857142857143
Canada,2020-03-12,7.928571428571429,20.714285714285715,8.071428571428571,-2.5714285714285716,1.7857142857142858,0.2857142857142857
Canada,2020-03-13,-0.2857142857142857,28.571428571428573,-9.5,-8.642857142857142,-1.3571428571428572,2.857142857142857
Canada,2020-03-14,-8.785714285714286,14.857142857142858,-9.571428571428571,-10.214285714285714,-1.8571428571428572,3.0714285714285716
Canada,2020-03-15,-2.3076923076923075,15.923076923076923,28.46153846153846,-9.76923076923077,-1.2307692307692308,1.9230769230769231
Canada,2020-03-16,-6.285714285714286,23.642857142857142,8.642857142857142,-22.0,-19.571428571428573,6.428571428571429
Canada,2020-03-17,-18.857142857142858,15.0,4.785714285714286,-25.071428571428573,-27.071428571428573,9.357142857142858
Canada,2020-03-18,-26.428571428571427,7.5,9.214285714285714,-28.928571428571427,-33.214285714285715,11.142857142857142
Canada,2020-03-19,-29.5,4.571428571428571,14.0,-33.357142857142854,-37.57142857142857,12.214285714285714
Canada,2020-03-20,-37.57142857142857,-4.285714285714286,-6.928571428571429,-34.07142857142857,-38.857142857142854,14.571428571428571
Canada,2020-03-21,-47.0,-14.0,7.642857142857143,-31.0,-29.071428571428573,9.0
Canada,2020-03-22,-47.30769230769231,-20.384615384615383,15.23076923076923,-35.46153846153846,-28.615384615384617,7.153846153846154
Canada,2020-03-23,-44.42857142857143,-14.857142857142858,-5.428571428571429,-44.285714285714285,-47.42857142857143,14.357142857142858
Canada,2020-03-24,-49.785714285714285,-20.285714285714285,-14.142857142857142,-46.357142857142854,-51.0,16.642857142857142
Canada,2020-03-25,-50.142857142857146,-20.5,-4.357142857142857,-47.42857142857143,-53.07142857142857,16.785714285714285
Canada,2020-03-26,-49.07142857142857,-18.214285714285715,-11.428571428571429,-49.214285714285715,-53.357142857142854,17.642857142857142
Canada,2020-03-27,-51.357142857142854,-19.928571428571427,-13.714285714285714,-48.785714285714285,-52.214285714285715,18.785714285714285
Canada,2020-03-28,-54.92857142857143,-23.642857142857142,-11.714285714285714,-43.642857142857146,-40.357142857142854,10.857142857142858
Canada,2020-03-29,-51.42857142857143,-26.428571428571427,8.571428571428571,-46.285714285714285,-35.42857142857143,8.071428571428571
Canada,2020-03-30,-49.07142857142857,-23.0,-16.857142857142858,-50.214285714285715,-53.92857142857143,16.428571428571427
Canada,2020-03-31,-47.142857142857146,-19.5,-11.357142857142858,-49.0,-54.285714285714285,17.214285714285715
Canada,2020-04-01,-49.214285714285715,-21.285714285714285,-15.285714285714286,-50.142857142857146,-54.714285714285715,17.571428571428573
Canada,2020-04-02,-49.5,-22.642857142857142,-21.071428571428573,-52.857142857142854,-55.285714285714285,18.571428571428573
Canada,2020-04-03,-50.142857142857146,-20.142857142857142,-26.0,-51.142857142857146,-52.92857142857143,19.5
Canada,2020-04-04,-53.785714285714285,-23.571428571428573,-19.142857142857142,-47.285714285714285,-40.5,11.428571428571429
Canada,2020-04-05,-52.69230769230769,-32.76923076923077,1.1538461538461537,-52.53846153846154,-39.61538461538461,8.923076923076923
Canada,2020-04-06,-38.5,-17.5,-2.5714285714285716,-50.07142857142857,-53.42857142857143,16.357142857142858
Canada,2020-04-07,-38.92857142857143,-14.428571428571429,-3.5,-48.92857142857143,-53.92857142857143,17.071428571428573
Canada,2020-04-08,-37.357142857142854,-12.142857142857142,-6.714285714285714,-49.0,-54.07142857142857,17.071428571428573
Canada,2020-04-09,-29.285714285714285,3.2142857142857144,-6.928571428571429,-48.714285714285715,-54.357142857142854,16.5
Canada,2020-04-10,-56.5,-40.857142857142854,-19.428571428571427,-58.92857142857143,-78.07142857142857,22.857142857142858
Canada,2020-04-11,-40.357142857142854,-10.0,-21.5,-47.0,-42.214285714285715,11.285714285714286
Canada,2020-04-12,-59.23076923076923,-49.30769230769231,4.384615384615385,-53.23076923076923,-45.30769230769231,9.384615384615385
Canada,2020-04-13,-40.642857142857146,-21.142857142857142,-11.071428571428571,-54.142857142857146,-64.42857142857143,18.285714285714285
Canada,2020-04-14,-37.07142857142857,-14.285714285714286,-5.357142857142857,-49.5,-53.357142857142854,17.142857142857142
Canada,2020-04-15,-35.142857142857146,-13.357142857142858,-6.642857142857143,-49.07142857142857,-53.07142857142857,17.142857142857142
Canada,2020-04-16,-34.714285714285715,-12.214285714285714,-3.2857142857142856,-49.142857142857146,-52.57142857142857,17.571428571428573
